Gene Symbol,Name,Entrez GeneId,Genome Location,Tier,Hallmark,Chr Band,Somatic,Germline,Tumour Types(Somatic),Tumour Types(Germline),Cancer Syndrome,Tissue Type,Molecular Genetics,Role in Cancer,Mutation Types,Translocation Partner,Other Germline Mut,Other Syndrome,Synonyms
CDKN2C,"cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)",1031,1:50960745-50974633,1,Yes,32.3,yes,,"glioma, MM",,,"O, L",Rec,TSG,D,,,,"1031,CDKN2C,ENSG00000123080.10,INK4C,P42773,p18"
CDX2,caudal type homeo box transcription factor 2,1045,13:27962137-27971139,1,,12.2,yes,,AML,,,L,Dom,"TSG, fusion",T,ETV6,,,"1045,CDX2,CDX3,ENSG00000165556.9,Q99626"
CEBPA,"CCAAT/enhancer binding protein (C/EBP), alpha",1050,19:33299934-33302564,1,Yes,13.11,yes,,"AML, MDS",,,L,Dom,TSG,"Mis, N, F",,,,"1050,C/EBP-alpha,CEBP,CEBPA,ENSG00000245848.2,P49715"
CHCHD7,coiled-coil-helix-coiled-coil-helix domain containing 7,79145,8:56211756-56218615,1,,12.1,yes,,salivary adenoma,,,E,Dom,fusion,T,PLAG1,,,"79145,CHCHD7,COX23,ENSG00000170791.17,MGC2217,Q9BUK0"
CHD4,chromodomain helicase DNA binding protein 4,1108,12:6570088-6607476,1,Yes,13.31,yes,,uterine serous carcinoma,,,E,Dom,oncogene,"Mis, F, N",,,,"1108,CHD4,ENSG00000111642.15,Mi-2b,Mi2-BETA"
CHEK2,CHK2 checkpoint homolog (S. pombe),11200,22:28687763-28741838,1,Yes,12.1,,yes,,breast,familial breast cancer,E,Rec,TSG,F,,,,"11200,CDS1,CHEK2,CHK2,ENSG00000183765.20,HuCds1,O96017,PP1425,RAD53,bA444G7"
CIC,capicua homolog,23152,19:42284665-42295797,1,Yes,13.2,yes,,"oligodendroglioma, soft tissue sarcoma",,,"O, M",Rec,"oncogene, TSG, fusion","Mis, F, S,T","DUX4L1, FOXO4",,,"23152,CIC,ENSG00000079432.7,KIAA0306,Q96RK0"
CIITA,"class II, major histocompatibility complex, transactivator",4261,16:10877198-10924983,1,Yes,13.13,yes,,"PMBL, Hodgkin lymphoma",,,L,Dom,"TSG, fusion",T,"C15orf55, CD274, PDCD1LG2, RALGDS, RUNDC2A, RMI2, BCL6",,,"4261,C2TA,CIITA,ENSG00000179583.19,MHC2TA,NLRA"
CLIP1,CAP-GLY domain containing linker protein 1,6249,12:122271434-122422569,1,Yes,24.31,yes,,Spitzoid tumour,,,E,Dom,fusion,T,ROS1,,,"6249,CLIP,CLIP-170,CLIP1,CLIP170,CYLN1,ENSG00000130779.19,P30622,RSN"
CLTC,"clathrin, heavy polypeptide (Hc)",1213,17:59619689-59696956,1,Yes,23.1,yes,,"ALCL, renal",,,L,Dom,"TSG, fusion",T,"ALK, TFE3",,,"1213,CLTC,CLTCL2,ENSG00000141367.11,Hc"
CLTCL1,"clathrin, heavy polypeptide-like 1",8218,22:19179473-19291714,1,Yes,11.21,yes,,ALCL,,,L,Dom,"TSG, fusion",T,?,,,"8218,CHC22,CLH22,CLTCL,CLTCL1,CLTD,ENSG00000070371.15,P53675"
CNBP,"CCHC-type zinc finger, nucleic acid binding protein",7555,3:129170102-129183910,1,Yes,21.3,yes,,aneurysmal bone cyst,,,M,Dom,"TSG, fusion",T,USP6,,,"7555,CNBP,CNBP1,DM2,ENSG00000169714.16,P62633,RNF163,ZCCHC22,ZNF9"
CNOT3,CCR4-NOT transcription complex subunit 3,4849,19:54141396-54155680,1,Yes,13.42,yes,,T-ALL,,,L,Rec,TSG,"Mis, N, F",,,,"4849,CNOT3,ENSG00000088038.18,KIAA0691,LENG2,NOT3,NOT3H,O75175"
CNTRL,centriolin,11064,9:121075012-121177608,1,,33.2,yes,,"MPN, NHL",,,L,Dom,fusion,T,FGFR1,,,"11064,CEP1,CEP110,CNTRL,ENSG00000119397.16,Q7Z7A1"
COL1A1,"collagen, type I, alpha 1",1277,17:50183289-50201632,1,,21.33,yes,,"DFSP, aneurysmal bone cyst",,,M,Dom,fusion,T,"PDGFB, USP6",yes,Osteogenesis imperfecta,"1277,COL1A1,ENSG00000108821.13,OI4,P02452"
COL2A1,"collagen, type II, alpha 1",1280,12:47972965-48004486,1,Yes,13.11,yes,,"chondrosarcoma, enchondroma",,,"L, E, M",Rec,fusion,"F, Mis, N, T",,yes,"Spondyloepiphyseal Dysplasia Congenita, Achondrogenesis Type II, Stickler Syndrome, Type I and others","1280,AOM,COL2A1,ENSG00000139219.18,P02458,SEDC,STL1"
CREB1,cAMP responsive element binding protein 1,1385,2:207529892-207603431,1,,33.3,yes,,"clear cell sarcoma, angiomatoid fibrous histiocytoma",,,M,Dom,"oncogene, fusion",T,EWSR1,,,"1385,CREB1,ENSG00000118260.14,P16220"
CREB3L1,cAMP responsive element binding protein 3-like 1,90993,11:46277661-46321422,1,Yes,11.2,yes,,myxofibrosarcoma,,,M,Dom,"TSG, fusion",T,FUS,,,"90993,CREB3L1,ENSG00000157613.10,OASIS,Q96BA8"
CREB3L2,cAMP responsive element binding protein 3-like 2,64764,7:137874979-138002057,1,Yes,33,yes,,fibromyxoid sarcoma,,,M,Dom,"oncogene, fusion",T,FUS,,,"64764,BBF2H7,CREB3L2,ENSG00000182158.14,Q70SY1,TCAG_1951439"
CREBBP,CREB binding protein (CBP),1387,16:3725054-3880726,1,Yes,13.3,yes,,"ALL, AML, DLBCL, B-NHL",,,L,Dom/Rec,"oncogene, TSG, fusion","T, N, F, Mis, O","KMT2A, MORF, KAT6A",yes,Rubinstein-Taybi syndrome,"1387,CBP,CREBBP,ENSG00000005339.14,KAT3A,Q92793,RSTS,RTS"
CRLF2,cytokine receptor-like factor 2,64109,X:1190490-1212750,1,Yes,22.33,yes,,"B-ALL, Downs associated ALL",,,L,Dom,"oncogene, fusion","Mis, T","P2RY8, IGH",,,"64109,CRL2,CRLF2,ENSG00000205755.11,Q9HC73,TSLPR"
CRTC1,CREB regulated transcription coactivator 1,23373,19:18683678-18782333,1,Yes,13.11,yes,,salivary gland mucoepidermoid,,,E,Dom,"oncogene, fusion",T,MAML2,,,"23373,CRTC1,ENSG00000105662.15,FLJ14027,KIAA0616,MECT1,Q6UUV9,TORC1"
CRTC3,CREB regulated transcription coactivator 3,64784,15:90530068-90642813,1,,26.1,yes,,salivary gland mucoepidermoid,,,E,Dom,fusion,T,MAML2,,,"64784,CRTC3,ENSG00000140577.15,FLJ21868,Q6UUV7"
CSF3R,colony stimulating factor 3 receptor (granulocyte),1441,1:36466043-36483278,1,Yes,34.3,yes,,"aCML, CNL,  leukaemia lymphoma and MDS associated with severe congenital neutropenia, CMML, de novo AML, MDS",,,L,Dom,oncogene,"Mis, N",,yes,"Kostmann syndrome, severe congenital neutropenia","1441,CD114,CSF3R,ENSG00000119535.17,GCSFR,Q99062"
CTCF,CCCTC-binding factor,10664,16:67562467-67639176,1,Yes,22.1,yes,,"endometrial, breast, head and neck cancer",,,E,Dom,TSG,"Mis, N",,,"Mental retardation, autosomal dominant 21","10664,CTCF,ENSG00000102974.15"
CTNNB1,"catenin (cadherin-associated protein), beta 1",1499,3:41220551-41239888,1,Yes,22.1,yes,,"colorectal, ovarian,  hepatoblastoma, pleomorphic salivary gland adenoma, other tumour types",,,"E, M, O",Dom,"oncogene, fusion","Mis, O, T",PLAG1,,,"1499,CTNNB,CTNNB1,ENSG00000168036.17,armadillo,beta-catenin"
CUX1,cut-like homeobox 1,1523,7:101816011-102258233,1,Yes,22.1,yes,,"endometrial, melanoma, colorectal, AML, MDS, other tumour types",,,"E,L,M,O",Dom,"oncogene, TSG","N,F,S,Mis,O,T",CLDN7,,,"1523,CASP,CDP,CDP/Cut,CDP/Cux,CDP1,CUT,CUTL1,CUX,CUX1,Clox,Cux/CDP,ENSG00000257923.10,GOLIM6,P39880"
CXCR4,C-X-C motif chemokine receptor 4,7852,2:136114349-136116243,1,Yes,22.1,yes,yes,WM,,,L,Dom,oncogene,"Mis, N, F",,,,"7852,CD184,CXCR4,D2S201E,ENSG00000121966.6,HM89,HSY3RR,LESTR,NPY3R,NPYR,NPYY3R,P61073,fusin"
CYLD,familial cylindromatosis gene,1540,16:50742760-50801935,1,Yes,12.1,yes,yes,cylindroma,cylindroma,"familial cylindromatosis, familial trichoepithelioma, Brooke-Spiegler syndrome",E,Rec,TSG,"Mis, N, F, S",,,,"1540,CYLD,CYLD1,ENSG00000083799.17,KIAA0849,Q9NQC7,USPL2"
DAXX,death-domain associated protein,1616,6:33318558-33323014,1,Yes,21.32,yes,,"pancreatic neuroendocrine tumour, paediatric glioblastoma",,,E,Rec,"oncogene, TSG","Mis, F, N",,,,"1616,DAP6,DAXX,ENSG00000204209.12,Q9UER7"
DCTN1,dynactin 1,1639,2:74361154-74380355,1,,13.1,yes,,"inflammatory myofibroblastic tumour, Spitzoid tumour",,,M,Dom,fusion,T,"ALK, ROS1",yes,"Distal hereditary motor neuronopathy, susceptibility to amyotrophic lateral sclerosis, Perry syndrome","1639,DCTN1,ENSG00000204843.12,Q14203"
DDB2,damage-specific DNA binding protein 2,1643,11:47214942-47239240,1,Yes,11.2,,yes,,"skin basal cell, skin squamous cell, melanoma",xeroderma pigmentosum (E),E,Rec,"oncogene, TSG","Mis, N",,,,"1643,DDB2,DDBB,ENSG00000134574.11,FLJ34321,Q92466,UV-DDB2,XPE"
DDIT3,DNA-damage-inducible transcript 3,1649,12:57516589-57520517,1,Yes,13.3,yes,,liposarcoma,,,M,Dom,"oncogene, fusion",T,"FUS, EWSR1",,,"1649,CHOP,CHOP10,DDIT3,ENSG00000175197.12,GADD153,P35638"
DDR2,discoidin domain receptor 2,4921,1:162632465-162787400,1,Yes,23.3,yes,,"squamous cell carcinoma, NSCLC",,,E,Dom,oncogene,"Mis, N",,yes,"Spondylometaepiphyseal dysplasia, short limb-hand type","4921,DDR2,ENSG00000162733.16,NTRKR3,Q16832,TKT,TYRO10"
DDX10,DEAD (Asp-Glu-Ala-Asp) box polypeptide 10,1662,11:108665025-108940930,1,Yes,22.3,yes,,AML*,,,L,Dom,"TSG, fusion",T,NUP98,,,"1662,DDX10,Dbp4,ENSG00000178105.9,HRH-J8,Q13206"
DDX3X,"DEAD-box helicase 3, X-linked",1654,X:41333284-41351668,1,Yes,11.4,yes,,"CLL, medulloblastoma",,,"L, O",,TSG,"Mis, N, F",,yes,"Mental retardation, X-linked 102","1654,DBX,DDX14,DDX3,DDX3X,ENSG00000215301.10,HLP2"
DDX5,DEAD (Asp-Glu-Ala-Asp) box polypeptide 5,1655,17:64499616-64506521,1,Yes,23.3,yes,,prostate,,,E,Dom,"oncogene, fusion",T,ETV4,,,"1655,DDX5,ENSG00000108654.14,G17P1,HLR1,P17844,p68"
DDX6,DEAD (Asp-Glu-Ala-Asp) box polypeptide 6,1656,11:118747766-118790948,1,Yes,23.3,yes,,B-NHL,,,L,Dom,"oncogene, fusion",T,IGH,,,"1656,DDX6,ENSG00000110367.11,HLR2,P26196,RCK"
DEK,DEK oncogene (DNA binding),7913,6:18223868-18264823,1,,22.3,yes,,AML,,,L,Dom,"oncogene, fusion",T,NUP214,,,"7913,D6S231E,DEK,ENSG00000124795.14,P35659"
DICER1,"dicer 1, ribonuclease type III",23405,14:95086228-95158010,1,Yes,32.13,yes,yes,"sex cord-stromal tumour, TGCT, embryonal rhabdomyosarcoma, pleuropulmonary blastoma, pituitary blastoma, Wilms tumour, thyroid cancer, other tumour types",pleuropulmonary blastoma,familial pleuropulmonary blastoma or DICER1 syndrome,"E, M, O",Rec,TSG,"Mis, F, N",,,,"23405,DICER1,Dicer,ENSG00000100697.14,HERNA,K12H4.8-LIKE,KIAA0928,MNG1,Q9UPY3"
DNAJB1,DnaJ heat shock protein family (Hsp40) member B1,3337,19:14514770-14518420,1,,13.12,yes,,fibrolamellar hepatocellular carcinoma,,,E,Dom,fusion,T,PRKACA,,,"3337,DNAJB1,ENSG00000132002.7,HSPF1,Hsp40,P25685,RSPH16B,Sis1"
DNM2,dynamin 2,1785,19:10718131-10831903,1,Yes,13.2,yes,,T-ALL,,,L,Rec,TSG,"F, N, S, Mis, O",,yes,"Charcot-Marie-Tooth disease, centronuclear myopathy,  lethal congenital contracture syndrome 5","1785,CMT2M,CMTDI1,CMTDIB,DI-CMTB,DNM2,DYN2,DYNII,ENSG00000079805.16,P50570"
DNMT3A,DNA (cytosine-5-)-methyltransferase 3 alpha,1788,2:25227855-25342590,1,Yes,23.3,yes,,AML,,,L,Dom,TSG,"Mis, F, N, S",,,,"1788,DNMT3A,ENSG00000119772.16,Q9Y6K1"
DROSHA,drosha ribonuclease III,29102,5:31400497-31532061,1,Yes,13.3,yes,,"Wilms tumour, NSCLC, bladder carcinoma",,,"E, O",,TSG,"A, Mis, N, F",,,,"29102,DROSHA,ENSG00000113360.16,Etohi2,HSA242976,Q9NRR4,RN3,RNASE3L,RNASEN"
EBF1,early B-cell factor 1,1879,5:158695920-159099761,1,Yes,33.3,yes,,lipoma,,,M,Dom,"TSG, fusion",T,HMGA2,,,"1879,COE1,EBF,EBF1,ENSG00000164330.16,OLF1,Q9UH73"
EGFR,"epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)",1956,7:55019101-55211628,1,Yes,11.2,yes,yes,"glioma, NSCLC",NSCLC,familial lung cancer,"E, O",Dom,oncogene,"A, O, Mis",,,,"1956,EGFR,ENSG00000146648.17,ERBB,ERBB1,P00533"
EIF3E,"eukaryotic translation initiation factor 3, subunit E",3646,8:108201743-108248765,1,Yes,23.1,yes,,colorectal,,,E,Dom,"TSG, fusion",T,RSPO3,,,"3646,EIF3E,EIF3S6,ENSG00000104408.9,INT6,P60228,eIF3-p48,eIF3e"
EIF4A2,"eukaryotic translation initiation factor 4A, isoform 2",1974,3:186783547-186789900,1,Yes,27.3,yes,,NHL,,,L,Dom,fusion,T,BCL6,,,"1974,BM-010,DDX2B,EIF4A,EIF4A2,EIF4F,ENSG00000156976.16,Q14240"
ELF4,E74-like factor 4 (ets domain transcription factor),2000,X:130064928-130110495,1,Yes,26.1,yes,,AML,,,L,Dom,"oncogene, TSG, fusion",T,ERG,,,"2000,ELF4,ELFR,ENSG00000102034.16,MEF,Q99607"
ELK4,"ELK4, ETS-domain protein (SRF accessory protein 1)",2005,1:205607943-205631962,1,Yes,32.1,yes,,prostate,,,E,Dom,"oncogene, fusion",T,SLC45A3,,,"2005,ELK4,ENSG00000158711.13,P28324,SAP1"
ELL,ELL gene (11-19 lysine-rich leukemia gene),8178,19:18442663-18522127,1,Yes,13.11,yes,,AL,,,L,Dom,"TSG, fusion",T,KMT2A,,,"8178,C19orf17,ELL,ELL1,ENSG00000105656.12,Men,P55199,PPP1R68"
EML4,echinoderm microtubule associated protein like 4,27436,2:42169350-42332548,1,Yes,21,yes,,NSCLC,,,E,Dom,fusion,T,ALK,,,"27436,C2orf2,ELP120,EML4,ENSG00000143924.18,Q9HC35,ROPP120"
EP300,300 kd E1A-Binding protein gene,2033,22:41091786-41180079,1,Yes,13.2,yes,,"colorectal, breast, pancreatic, AML, ALL, DLBCL",,,"L, E",Rec,"TSG, fusion","T,  N, F, Mis, O","KMT2A, KAT6A",,,"2033,ENSG00000100393.12,EP300,KAT3B,Q09472,p300"
EPAS1,endothelial PAS domain protein 1,2034,2:46297402-46386703,1,Yes,21,yes,,"paraganglioma, pheochromocytoma, central nervous system hemangioblastomas",,,"E, M",Dom,"oncogene, TSG",Mis,,yes,type 3 familial erythrocytosis,"2034,ENSG00000116016.13,EPAS1,HIF2A,HLF,MOP2,PASD2,Q99814,bHLHe73"
EPS15,epidermal growth factor receptor pathway substrate 15 (AF1p),2060,1:51354263-51519328,1,Yes,32.3,yes,,ALL,,,L,Dom,"TSG, fusion",T,KMT2A,,,"2060,AF-1P,ENSG00000085832.16,EPS15,MLLT5,P42566"
ERBB2,"v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)",2064,17:39700080-39728662,1,Yes,12,yes,,"breast, ovarian, other tumour types, NSCLC, gastric",,,E,Dom,"oncogene, fusion","A, Mis, O",,,,"2064,CD340,ENSG00000141736.13,ERBB2,HER-2,HER2,NEU,NGL,P04626"
ERBB3,erb-b2 receptor tyrosine kinase 3,2065,12:56079861-56103505,1,Yes,13.2,yes,,"colon, gastric, head and neck, bladder, skin",,,E,Dom,oncogene,"Mis, N",,,,"2065,ENSG00000065361.15,ERBB3,HER3,LCCS2,P21860"
ERBB4,erb-b2 receptor tyrosine kinase 4,2066,2:211375717-212538841,1,Yes,34,yes,yes,"melanoma, gastric, NSCLC",,,E,Dom,"oncogene, TSG","Mis, N",,yes,Amyotrophic lateral sclerosis 19,"2066,ALS19,ENSG00000178568.14,ERBB4,HER4,Q15303"
ERC1,ELKS/RAB6-interacting/CAST family member 1,23085,12:1027747-1495924,1,Yes,13.33,yes,,"papillary thyroid, Spitzoid tumour",,,E,Dom,fusion,T,"RET, ROS1",,,"23085,CAST2,ELKS,ENSG00000082805.19,ERC1,KIAA1081,MGC12974,Q8IUD2,RAB6IP2"
ERCC2,"excision repair cross-complementing rodent repair deficiency, complementation group 2 (xeroderma pigmentosum D)",2068,19:45349837-45370587,1,Yes,13.32,,yes,,"skin basal cell, skin squamous cell, melanoma",xeroderma pigmentosum (D),E,Rec,TSG,"Mis, N, F, S",,,,"2068,EM9,ENSG00000104884.15,ERCC2,MAG,MGC102762,MGC126218,MGC126219,P18074,TFIIH,XPD"
ERCC3,"excision repair cross-complementing rodent repair deficiency, complementation group 3 (xeroderma pigmentosum group B complementing)",2071,2:127257290-127294176,1,Yes,14.3,,yes,,"skin basal cell, skin squamous cell, melanoma",xeroderma pigmentosum (B),E,Rec,TSG,"Mis, S",,,,"2071,BTF2,ENSG00000163161.13,ERCC3,GTF2H,P19447,RAD25,TFIIH,XPB"
ERCC4,"excision repair cross-complementing rodent repair deficiency, complementation group 4",2072,16:13920157-13952345,1,Yes,13.12,,yes,,"skin basal cell, skin squamous cell, melanoma",xeroderma pigmentosum (F),E,Rec,TSG,"Mis, N, F",,,,"2072,ENSG00000175595.14,ERCC4,FANCQ,Q92889,RAD1,XPF"
ERCC5,"excision repair cross-complementing rodent repair deficiency, complementation group 5 (xeroderma pigmentosum, complementation group G (Cockayne syndrome))",2073,13:102844844-102876001,1,Yes,33.1,,yes,,"skin basal cell, skin squamous cell, melanoma",xeroderma pigmentosum (G),E,Rec,TSG,"Mis, N, F",,,,"2073,ENSG00000134899.19,ERCC5,ERCM2,P28715,XPGC"
ERG,v-ets erythroblastosis virus E26 oncogene like (avian),2078,21:38380027-38661694,1,Yes,22.2,yes,,"Ewing sarcoma, prostate, AML",,,"M, E, L",Dom,"oncogene, fusion","T, A","EWSR1, TMPRSS2, ELF4, FUS, HERPUD1, NDRG1",,,"2078,ENSG00000157554.18,ERG,P11308,erg-3,p55"
ESR1,estrogen receptor 1,2099,6:151690496-152103274,1,Yes,25.2,yes,,breast,,,E,Dom,"oncogene, TSG, fusion",Mis,,,,"2099,ENSG00000091831.23,ER-alpha,ESR,ESR1,Era,NR3A1,P03372"
ETNK1,ethanolamine kinase 1,55500,12:22625075-22690665,1,Yes,12.1,yes,,"aCML, CMML, SM-AHD, HES",,,L,Dom,TSG,Mis,,,,"55500,EKI,EKI1,ENSG00000139163.15,ETNK1,Q9HBU6"
ETV1,ets variant gene 1,2115,7:13891228-13989946,1,,21.2,yes,,"Ewing sarcoma, prostate",,,"M, E",Dom,"oncogene, fusion",T,"EWSR1, TMPRSS2, SLC45A3, HMGN2P46, HNRNPA2B1. ACSL3",,,"2115,ENSG00000006468.13,ER81,ETV1,P50549"
ETV4,"ets variant gene 4 (E1A enhancer binding protein, E1AF)",2118,17:43527844-43546432,1,,21.31,yes,,"Ewing sarcoma, prostate carcinoma",,,"M, E",Dom,"oncogene, fusion",T,"EWSR1, TMPRSS2, DDX5, KLK2, CANT1",,,"2118,E1A-F,E1AF,ENSG00000175832.12,ETV4,P43268,PEA3"
ETV5,ets variant gene 5,2119,3:186046308-186109112,1,,27.2,yes,,prostate,,,E,Dom,"oncogene, fusion",T,"TMPRSS2, SCL45A3",,,"2119,ENSG00000244405.7,ERM,ETV5,P41161"
ETV6,ets variant gene 6 (TEL oncogene),2120,12:11649854-11895402,1,Yes,13.2,yes,,"congenital fibrosarcoma, multiple different leukaemia and lymphoma tumour types including ALL, secretory breast, MDS",,,"L, E, M",Dom,"TSG, fusion",T,"NTRK3, RUNX1, PDGFRB, ABL1, MN1, ABL2, ACSL6, CHIC2, ARNT, JAK2, MECOM, CDX2, RNF217-AS1, MNX1, MDS2, PER1, SYK, TTL, FGFR3, PAX5",,,"2120,ENSG00000139083.10,ETV6,P41212,TEL"
EWSR1,Ewing sarcoma breakpoint region 1 (EWS),2130,22:29268316-29300343,1,Yes,12.2,yes,,"Ewing sarcoma, desmoplastic small round cell tumour , ALL, clear cell sarcoma, sarcoma, myoepithelioma, mesothelioma",,,"L, M, E",Dom,"oncogene, fusion",T,"FLI1, ERG, NR4A3, FEV, ATF1, ETV1, ETV4, WT1, ZNF384, CREB1, POU5F1,  PBX1, NFATC1, NFATC2, DDIT3, PATZ1, SMARCA5, SP3, ZNF444, YY1",,,"2130,ENSG00000182944.17,EWS,EWSR1,Q01844"
EXT1,multiple exostoses type 1 gene,2131,8:117794490-118111853,1,,24.11,,yes,,"exostoses, osteosarcoma",multiple exostoses type 1,M,Rec,"TSG, fusion","Mis, N, F, S",,,,"2131,ENSG00000182197.10,EXT1,LGCR,LGS,Q16394,ttv"
EXT2,multiple exostoses type 2 gene,2132,11:44096197-44245429,1,,11.2,,yes,,"exostoses, osteosarcoma",multiple exostoses type 2,M,Rec,TSG,"Mis, N, F, S",,,,"2132,ENSG00000151348.13,EXT2,Q93063,SOTV"
EZH2,enhancer of zeste homolog 2,2146,7:148807385-148884278,1,Yes,36.1,yes,,DLBCL,,,L,Dom,"oncogene, TSG",Mis,,,,"2146,ENSG00000106462.10,ENX-1,EZH1,EZH2,KMT6,KMT6A,Q15910"
EZR,ezrin,7430,6:158765748-158819412,1,Yes,25.3,yes,,NSCLC,,,E,Dom,fusion,T,ROS1,,,"7430,ENSG00000092820.17,EZR,P15311,VIL2"
FANCA,"Fanconi anemia, complementation group A",2175,16:89737549-89816646,1,,24.3,,yes,,"AML, leukaemia",Fanconi anaemia A,L,Rec,TSG,"D, Mis, N, F, S",,,,"2175,ENSG00000187741.14,FA-H,FAA,FACA,FAH,FANCA,FANCH,O15360"
FANCC,"Fanconi anemia, complementation group C",2176,9:95099054-95317702,1,,22.32,,yes,,"AML, leukaemia",Fanconi anaemia C,L,Rec,TSG,"D, Mis, N, F, S",,,,"2176,ENSG00000158169.12,FA3,FAC,FACC,FANCC,Q00597"
FANCD2,"Fanconi anemia, complementation group D2",2177,3:10026414-10099660,1,Yes,25.3,,yes,,"AML, leukaemia",Fanconi anaemia D2,L,Rec,TSG,"D, Mis, N, F",,,,"2177,ENSG00000144554.10,FA-D2,FACD,FAD,FANCD,FANCD2,Q9BXW9"
FANCE,"Fanconi anemia, complementation group E",2178,6:35452361-35467103,1,,21.31,,yes,,"AML, leukaemia",Fanconi anaemia E,L,Rec,TSG,"N, F, S",,,,"2178,ENSG00000112039.3,FACE,FAE,FANCE,Q9HB96"
FANCF,"Fanconi anemia, complementation group F",2188,11:22622519-22626787,1,,14.3,,yes,,"AML, leukaemia",Fanconi anaemia F,L,Rec,TSG,"N, F",,,,"2188,ENSG00000183161.4,FAF,FANCF,Q9NPI8"
FANCG,"Fanconi anemia, complementation group G",2189,9:35073838-35080016,1,,13.3,,yes,,"AML, leukaemia",Fanconi anaemia G,L,Rec,TSG,"Mis, N, F, S",,,,"2189,ENSG00000221829.9,FAG,FANCG,O15287,XRCC9"
FAS,Fas cell surface death receptor,355,10:88990657-89015785,1,Yes,23.31,yes,,"TGCT, nasal NK/T lymphoma, skin squamous cell carcinoma-burn scar related",,,"L, E, O",Rec,TSG,Mis,,yes,Autoimmune lymphoproliferative syndrome,"355,APO-1,APT1,CD95,ENSG00000026103.21,FAS,FAS1,P25445,TNFRSF6"
FAT1,FAT atypical cadherin 1,2195,4:186587783-186723855,1,Yes,35.2,yes,yes,"oral squamous cell, chemorefractory CLL, head and neck, pancreatic acinar cell carcinoma",pancreatic,,"E, L",,TSG,"Mis, N, F, S",,,,"2195,CDHF7,CDHR8,ENSG00000083857.13,FAT,FAT1,Q14517"
FAT4,FAT atypical cadherin 4,79633,4:125316399-125492932,1,Yes,28.1,yes,,"lymphoma, pancreatic, head and neck, melanoma, hepatocellular carcinoma",,,"E, L",,TSG,"Mis, N",,yes,"Hennekam lymphangiectasia-lymphedema syndrome 2, Van Maldergem syndrome 2","79633,CDHF14,CDHR11,ENSG00000196159.11,FAT-J,FAT4,Q6V0I7"
FBXO11,F-box protein 11,80204,2:47806920-47905793,1,Yes,16.3,yes,,DLBCL,,,L,Rec,TSG,"Mis, F, D",,,,"80204,ENSG00000138081.20,FBX11,FBXO11,Q86XK2,UBR6"
FBXW7,"F-box and WD-40 domain protein 7 (archipelago homolog, Drosophila)",55294,4:152320544-152536063,1,Yes,31.3,yes,,"colorectal, endometrial, T-ALL",,,"E, L",Rec,TSG,"Mis, N, D, F",,,,"55294,AGO,CDC4,ENSG00000109670.14,FBW7,FBX30,FBXW6,FBXW7,FLJ11071,Q969H0,SEL-10,SEL10"
FCGR2B,"Fc fragment of IgG, low affinity IIb, receptor for (CD32)",2213,1:161663161-161678654,1,Yes,23.3,yes,,ALL,,,L,Dom,"oncogene, fusion",T,?,,,"2213,CD32,CD32B,ENSG00000072694.20,FCG2,FCGR2,FCGR2B,P31994"
FCRL4,Fc receptor-like 4,83417,1:157573749-157598080,1,,23.1,yes,,B-NHL,,,L,Dom,"oncogene, fusion",T,IGH,,,"83417,CD307d,ENSG00000163518.10,FCRH4,FCRL4,IGFP2,IRTA1,Q96PJ5"
FES,"FES proto-oncogene, tyrosine kinase",2242,15:90884412-90895776,1,Yes,26.1,yes,,"HNSCC, ovarian carcinoma",,,E,,"oncogene, TSG","Mis, F",,,,"2242,ENSG00000182511.11,FES,FPS,P07332"
FEV,FEV protein - (HSRNAFEV),54738,2:218981087-218985657,1,,35,yes,,Ewing sarcoma,,,M,Dom,"oncogene, fusion",T,"EWSR1,  FUS",,,"54738,ENSG00000163497.2,FEV,Pet-1,Q99581"
FGFR1,fibroblast growth factor receptor 1,2260,8:38411138-38467845,1,Yes,11.23,yes,,"MPN, NHL, salivary adenoma",,,L,Dom,"oncogene, fusion",T,"BCR, FOP, ZMYM2, CNTRL, PLAG1",yes,"Pfeiffer syndrome, Kallman syndrome","2260,BFGFR,CD331,CEK,ENSG00000077782.19,FGFR1,FLG,FLT2,H2,H3,H4,H5,KAL2,N-SAM,P11362"
FGFR1OP,FGFR1 oncogene partner (FOP),11116,6:166999182-167052713,1,,27,yes,,"MPN, NHL",,,L,Dom,fusion,T,FGFR1,,,"11116,ENSG00000213066.12,FGFR1OP,FOP,O95684"
FGFR2,fibroblast growth factor receptor 2,2263,10:121479857-121598403,1,Yes,26.13,yes,,"gastric, NSCLC, endometrial",,,E,Dom,"oncogene, fusion",Mis,,yes,"Crouzon, Pfeiffer, and Apert syndromes","2263,BEK,CD332,CEK3,CFD1,ECT1,ENSG00000066468.22,FGFR2,JWS,K-SAM,KGFR,P21802,TK14,TK25"
